chainId,dexId,baseToken-symbol,quoteToken-symbol,priceUsd,priceNative,liquidity-usd,liquidity-base,liquidity-quote,fdv
ethereum,uniswap,LINK,WETH,7.20,0.004318,16271055,1625513,2729,7207349910.63
ethereum,uniswap,LINK,UNI,7.19,0.9908,359052,28933,20776,7195333628.63
ethereum,uniswap,LINK,USDC,7.21,7.2102,453649,25474,269971,7210276308.71
ethereum,uniswap,LINK,WETH,7.21,0.004320,2218279,153833,664.5,7210016905.18
ethereum,sushiswap,LINK,WETH,7.23,0.004337,1971647,136222,590.8,7236881336.92
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,KNC,LINK,0.8864,0.1227,177994,167760,4055,198237572.61
ethereum,balancer,LINK,WETH,7.21,0.004335,369007,25556,110.7,7219556501.92
ethereum,balancer,CHZ,LINK,0.1447,0.02001,377589,1302010,26134,1277464762.1
ethereum,uniswap,XYO,LINK,0.006255,0.0008681,42086,4907371,1580,87142150.36
ethereum,uniswap,LINK,USDT,7.12,7.1231,67882,8474,7516,7123178594.66
ethereum,balancer,WBTC,LINK,23248.88,3228.2298,564638,16.19,26134,4106847448.34
ethereum,uniswap,LINK,WETH,7.31,0.004343,143709,18834,3.527,7314929417.83
ethereum,defiswap,LINK,WETH,7.21,0.004328,90081,6240,27.01,7217453079.03
ethereum,shibaswap,SHIB,LINK,0.00001528,0.000002117,8168,267149459,565.7,15285906475.63
ethereum,0x644b3950b04738a9b3A5FBD11FF9644A79e4A5Ed,LINK,WETH,7.14,0.004294,22587,1581,6.79,7142199955.9
ethereum,0x696708Db871B77355d6C2bE7290B27CF0Bb9B24b,YFL,LINK,11.32,1.5561,43537,1922,2991,645564.53
ethereum,shibaswap,LINK,WETH,7.20,0.004336,65944,4577,19.85,7203617251.55
ethereum,defiswap,LINK,USDT,7.17,7.1785,2889,201.2,1444,7178595603.56
ethereum,0x75e48C954594d64ef9613AeEF97Ad85370F13807,LINK,WETH,6.88,0.004136,1005,73.02,0.302,6880958423.03
ethereum,sushiswap,LINK,USDT,7.15,7.1557,536,37.43,267.8,7155707559.01
ethereum,sushiswap,LINK,DAI,7.070,7.07920,150,10.61,75.15,7079296539.97
ethereumpow,sushiswap,LINK,WETH,0.0003024,0.00006559,991,1638783,107.5,302441.61
ethereumpow,defiswap,LINK,WETH,0.0003027,0.00006566,296,489233,32.12,302739.54
ethereum,sushiswap,LINK,USDC,6.79,6.7950,24,1.789,12.15,6795064114.95
ethereumpow,uniswap,LINK,WETH,0.0003024,0.00006560,881,1456371,95.54,302481.4
ethereumpow,defiswap,LINK,COMP,0.0003057,0.01088,0,136.5,1.486,305775.93
ethereum,uniswap,WETH,USDC,1667.54,1667.5461,186380604,42739,115111179,6541185157.15
ethereum,uniswap,WETH,USDC,1667.20,1667.2031,24549308,12349,3961269,6539839417.66
ethereum,uniswap,WETH,USDT,1666.82,1666.8296,26327446,6633,15270630,6538374461.44
ethereum,uniswap,WBTC,WETH,23399.63,14.01690,131951588,4233,19706,4133477596.97
ethereum,uniswap,PAW,WETH,0.000000004618,0.000000000002769,425,45986268864,0.1273,4618734.94
ethereum,uniswap,LOOKS,WETH,0.3366,0.0002016,8104588,10257441,2786,279942909.92
ethereum,uniswap,WOOF,WETH,0.003318,0.000001988,6312574,985268258,1822,26219988.85
ethereum,sushiswap,rDPX,WETH,54.55,0.03272,3033289,0.00397,1819,122741333.19
ethereum,uniswap,WBTC,WETH,23371.030,13.9998,206328491,3837,69875,4128424359.69
ethereum,uniswap,WETH,USDC,1668.28,1668.2800,179205510,48945,97551715,6544063992.99
ethereum,uniswap,BONE,WETH,1.87,0.001121,1774555,311970,713.2,430490291.83
ethereum,uniswap,HEX,WETH,0.04120,0.00002468,3027352,27622448,1131,23951614791.2
ethereum,shibaswap,BONE,WETH,1.87,0.001120,9921936,2652003,2971,430240054.36
ethereum,uniswap,RVP,WETH,0.01804,0.00001080,4082,113136,1.222,36083082.27
ethereum,uniswap,ELON,WETH,0.0000004447,0.0000000002664,14787506,16625468978200,4429,444720180.44
ethereum,sushiswap,SYN,WETH,1.18,0.0007115,10463730,4405807,3134,168294590.77
ethereum,uniswap,MATIC,WETH,1.24,0.0007436,14924112,4874162,5317,12402874207.45
ethereum,sushiswap,GLM,WETH,0.2798,0.0001677,3406827,7.567,2041,204822037.74
ethereum,uniswap,SHIB,WETH,0.00001519,0.000000009102,3049825,60478827657,1276,15194765875.34
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,wstETH,WETH,1846.040,1.1061,20070361,7585,3635,2072831109.63
ethereum,uniswap,LDO,WETH,2.18,0.001306,10238491,2276599,3158,2181103171.49
ethereum,0x5FA0060FcfEa35B31F7A5f6025F0fF399b98Edf1,GOVI,WETH,0.6619,0.0003946,3051995,0.555,1819,21182859.42
ethereum,shibaswap,SHI,WETH,0.000002060,0.000000001234,39340,9548158577,11.79,29093268.57
ethereum,shibaswap,AKITA,WETH,0.0000002843,0.0000000001705,435,765341322,0.1305,27009867.8
ethereum,sushiswap,MAGIC,WETH,1.85,0.001112,2328,627,0.6973,630377518.38
ethereum,0x696708Db871B77355d6C2bE7290B27CF0Bb9B24b,MASQ,WETH,0.4111,0.0002464,3040100,14.94,1822,15416432.65
ethereum,uniswap,XFT,WETH,2.54,0.001526,3307,649.1,0.991,25467429.95
ethereum,uniswap,WETH,DAI,1668.53,1668.5362,7963495,1736,5066659,6545068622.59
ethereum,sushiswap,ILV,WETH,91.27,0.05468,70861872,388176,21227,682319356.64
ethereum,uniswap,X2Y2,WETH,0.1831,0.0001097,5906684,16124901,1768,171129985.5
ethereum,uniswap,WETH,USDC,1667.54,1667.5461,186380604,42739,115111179,6541185157.15
ethereum,uniswap,WETH,USDC,1667.20,1667.2031,24549308,12349,3961269,6539839417.66
ethereum,uniswap,USDC,USDT,0.9998,0.9998,60523328,35932469,24597014,38916729174.91
ethereum,uniswap,HEX,USDC,0.04118,0.04118,7527066,86688209,3956539,23939167162.72
ethereum,uniswap,WETH,USDC,1668.28,1668.2800,179205510,48945,97551715,6544063992.99
ethereum,uniswap,HEX,USDC,0.04123,0.04123,344996,4182820,172498,23969105425.43
ethereum,uniswap,WETH,USDC,1669.36,1669.3660,94474399,28296,47237199,6548323827.92
ethereum,uniswap,USDD,USDC,0.9931,0.9931,10898691,7283597,3664908,123297153.67
ethereum,uniswap,DAI,USDC,1.00,1.0000,234994794,100664087,134327601,5103510208.14
ethereum,sushiswap,WETH,USDC,1667.61,1667.6135,45422702,13619,22711351,6541449193.87
